GO Term ID	Name	Namespace	log(Odds Ratio)	Statistical significance
GO:0009137	Purine nucleoside diphosphate catabolic process	Biological Process	0.629	6.19756e-3
GO:0035088	Establishment or maintenance of apical/basal cell polarity	Biological Process	0.824	9.41440e-3
GO:0005109	Frizzled binding	Molecular Function	1.341	4.91950e-2
GO:0016310	Phosphorylation	Biological Process	1.276	6.19756e-3
GO:0050769	Positive regulation of neurogenesis	Biological Process	0.782	6.19756e-3
GO:0060485	Mesenchyme development	Biological Process	1.103	6.19756e-3
GO:0022829	Wide pore channel activity	Molecular Function	1.771	1.32095e-2
GO:0006644	Phospholipid metabolic process	Biological Process	0.326	9.41440e-3
GO:0006090	Pyruvate metabolic process	Biological Process	0.566	6.19756e-3
GO:0030833	Regulation of actin filament polymerization	Biological Process	0.735	9.41440e-3
GO:0016410	N-acyltransferase activity	Molecular Function	1.148	6.19756e-3
GO:0000502	Proteasome complex	Cellular Component	0.423	3.66115e-2
GO:0043242	Negative regulation of protein-containing complex disassembly	Biological Process	0.769	1.64409e-2
GO:0031462	Cul2-RING ubiquitin ligase complex	Cellular Component	1.420	1.64409e-2
GO:0007600	Sensory perception	Biological Process	0.584	6.19756e-3
GO:0003774	Cytoskeletal motor activity	Molecular Function	0.828	9.41440e-3
GO:0050919	Negative chemotaxis	Biological Process	1.975	2.83444e-2
GO:1902493	Acetyltransferase complex	Cellular Component	0.938	6.19756e-3
GO:0071559	Response to transforming growth factor beta	Biological Process	0.978	9.41440e-3
GO:0009135	Purine nucleoside diphosphate metabolic process	Biological Process	0.799	6.19756e-3
GO:1990868	Response to chemokine	Biological Process	0.984	3.41455e-2
GO:0016812	Hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides	Molecular Function	3.052	4.19956e-2
GO:0009185	Ribonucleoside diphosphate metabolic process	Biological Process	0.787	6.19756e-3
GO:0015377	Chloride:monoatomic cation symporter activity	Molecular Function	1.849	4.19956e-2
GO:0003018	Vascular process in circulatory system	Biological Process	1.478	6.19756e-3
GO:0044877	Protein-containing complex binding	Molecular Function	0.517	3.66115e-2
GO:0050767	Regulation of neurogenesis	Biological Process	0.485	6.19756e-3
GO:0000123	Histone acetyltransferase complex	Cellular Component	0.988	6.19756e-3
GO:0010720	Positive regulation of cell development	Biological Process	0.280	6.19756e-3
GO:0071407	Cellular response to organic cyclic compound	Biological Process	0.430	4.45706e-2
GO:0051094	Positive regulation of developmental process	Biological Process	0.623	6.19756e-3
GO:0030202	Heparin metabolic process	Biological Process	1.619	2.55335e-2
GO:0045229	External encapsulating structure organization	Biological Process	1.398	6.19756e-3
GO:0032870	Cellular response to hormone stimulus	Biological Process	1.176	1.64409e-2
GO:0009612	Response to mechanical stimulus	Biological Process	0.237	6.19756e-3
GO:0004930	G protein-coupled receptor activity	Molecular Function	1.089	6.19756e-3
GO:0006163	Purine nucleotide metabolic process	Biological Process	0.287	2.25945e-2
GO:0008227	G protein-coupled amine receptor activity	Molecular Function	1.996	6.19756e-3
GO:0004703	G protein-coupled receptor kinase activity	Molecular Function	2.516	6.19756e-3
GO:0005886	Plasma membrane	Cellular Component	0.933	4.45706e-2
GO:0005005	Transmembrane-ephrin receptor activity	Molecular Function	1.710	3.14368e-2
GO:0060079	Excitatory postsynaptic potential	Biological Process	1.824	6.19756e-3
GO:0016810	Hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	Molecular Function	1.559	9.41440e-3
GO:0005030	Neurotrophin receptor activity	Molecular Function	0.819	6.19756e-3
GO:0008277	Regulation of G protein-coupled receptor signaling pathway	Biological Process	0.806	6.19756e-3
GO:2001236	Regulation of extrinsic apoptotic signaling pathway	Biological Process	0.501	6.19756e-3
GO:0030427	Site of polarized growth	Cellular Component	1.595	1.64409e-2
GO:0046914	Transition metal ion binding	Molecular Function	0.373	2.55335e-2
GO:0043113	Receptor clustering	Biological Process	0.843	6.19756e-3
GO:0031333	Negative regulation of protein-containing complex assembly	Biological Process	0.578	6.19756e-3
GO:0098791	Golgi apparatus subcompartment	Cellular Component	0.346	9.41440e-3
GO:0000146	Microfilament motor activity	Molecular Function	1.115	4.91950e-2
GO:0045504	Dynein heavy chain binding	Molecular Function	1.961	1.32095e-2
GO:0007219	Notch signaling pathway	Biological Process	1.214	9.41440e-3
GO:0120035	Regulation of plasma membrane bounded cell projection organization	Biological Process	0.651	6.19756e-3
GO:0070851	Growth factor receptor binding	Molecular Function	1.130	6.19756e-3
GO:0032868	Response to insulin	Biological Process	1.158	6.19756e-3
GO:0019905	Syntaxin binding	Molecular Function	1.756	2.55335e-2
GO:0032012	Regulation of ARF protein signal transduction	Biological Process	1.364	4.19956e-2
GO:0035259	Nuclear glucocorticoid receptor binding	Molecular Function	1.272	9.41440e-3
GO:0005834	Heterotrimeric G-protein complex	Cellular Component	0.421	6.19756e-3
GO:0016758	Hexosyltransferase activity	Molecular Function	0.561	6.19756e-3
GO:0005003	Ephrin receptor activity	Molecular Function	1.830	2.83444e-2
GO:0098966	Perisynaptic extracellular matrix	Cellular Component	1.101	6.19756e-3
GO:0002687	Positive regulation of leukocyte migration	Biological Process	1.831	6.19756e-3
GO:2000026	Regulation of multicellular organismal development	Biological Process	0.789	2.55335e-2
GO:0009181	Purine ribonucleoside diphosphate catabolic process	Biological Process	0.629	6.19756e-3
GO:0051896	Regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	Biological Process	0.530	3.66115e-2
GO:0051015	Actin filament binding	Molecular Function	1.008	3.66115e-2
GO:0015373	Monoatomic anion:sodium symporter activity	Molecular Function	1.785	4.70720e-2
GO:0008023	Transcription elongation factor complex	Cellular Component	0.598	4.45706e-2
GO:0046031	ADP metabolic process	Biological Process	0.745	6.19756e-3
GO:0004222	Metalloendopeptidase activity	Molecular Function	1.532	6.19756e-3
GO:0030425	Dendrite	Cellular Component	1.077	6.19756e-3
GO:0008375	Acetylglucosaminyltransferase activity	Molecular Function	1.456	9.41440e-3
GO:0016052	Carbohydrate catabolic process	Biological Process	0.205	9.41440e-3
GO:0030198	Extracellular matrix organization	Biological Process	1.396	6.19756e-3
GO:0006638	Neutral lipid metabolic process	Biological Process	1.727	6.19756e-3
GO:0005178	Integrin binding	Molecular Function	1.221	6.19756e-3
GO:0022848	Acetylcholine-gated monoatomic cation-selective channel activity	Molecular Function	2.739	6.19756e-3
GO:0031985	Golgi cisterna	Cellular Component	0.705	9.41440e-3
GO:0031406	Carboxylic acid binding	Molecular Function	0.885	4.91950e-2
GO:0007267	Cell-cell signaling	Biological Process	1.253	4.91950e-2
GO:0031683	G-protein beta/gamma-subunit complex binding	Molecular Function	0.631	9.41440e-3
GO:0016706	2-oxoglutarate-dependent dioxygenase activity	Molecular Function	1.327	3.92786e-2
GO:0033218	Amide binding	Molecular Function	0.997	6.19756e-3
GO:0015271	Outward rectifier potassium channel activity	Molecular Function	1.939	6.19756e-3
GO:0051240	Positive regulation of multicellular organismal process	Biological Process	0.733	6.19756e-3
GO:0048018	Receptor ligand activity	Molecular Function	0.606	6.19756e-3
GO:0046835	Carbohydrate phosphorylation	Biological Process	1.147	6.19756e-3
GO:0009154	Purine ribonucleotide catabolic process	Biological Process	0.252	9.41440e-3
GO:0002685	Regulation of leukocyte migration	Biological Process	1.612	6.19756e-3
GO:0009179	Purine ribonucleoside diphosphate metabolic process	Biological Process	0.799	6.19756e-3
GO:0072534	Perineuronal net	Cellular Component	1.069	6.19756e-3
GO:0007165	Signal transduction	Biological Process	0.961	3.92786e-2
GO:0071376	Cellular response to corticotropin-releasing hormone stimulus	Biological Process	1.796	9.41440e-3
GO:0002181	Cytoplasmic translation	Biological Process	0.621	6.19756e-3
GO:0007215	Glutamate receptor signaling pathway	Biological Process	2.994	6.19756e-3
GO:0008146	Sulfotransferase activity	Molecular Function	1.159	6.19756e-3
GO:0032587	Ruffle membrane	Cellular Component	1.151	9.41440e-3
GO:0030246	Carbohydrate binding	Molecular Function	0.826	1.32095e-2
GO:0098887	Neurotransmitter receptor transport, endosome to postsynaptic membrane	Biological Process	0.640	3.92786e-2
GO:0048545	Response to steroid hormone	Biological Process	0.876	3.66115e-2
GO:0040012	Regulation of locomotion	Biological Process	1.183	6.19756e-3
GO:0051213	Dioxygenase activity	Molecular Function	1.313	2.83444e-2
GO:0016779	Nucleotidyltransferase activity	Molecular Function	0.285	6.19756e-3
GO:0005905	Clathrin-coated pit	Cellular Component	1.193	6.19756e-3
GO:0038023	Signaling receptor activity	Molecular Function	1.415	9.41440e-3
GO:0001525	Angiogenesis	Biological Process	0.936	4.70720e-2
GO:0045121	Membrane raft	Cellular Component	0.635	2.25945e-2
GO:0007188	Adenylate cyclase-modulating G protein-coupled receptor signaling pathway	Biological Process	1.787	6.19756e-3
GO:0043434	Response to peptide hormone	Biological Process	0.834	1.32095e-2
GO:0007213	G protein-coupled acetylcholine receptor signaling pathway	Biological Process	1.672	9.41440e-3
GO:0006357	Regulation of transcription by RNA polymerase II	Biological Process	0.416	4.45706e-2
GO:0003714	Transcription corepressor activity	Molecular Function	0.505	1.96523e-2
GO:2000147	Positive regulation of cell motility	Biological Process	1.137	1.64409e-2
GO:0042578	Phosphoric ester hydrolase activity	Molecular Function	0.341	9.41440e-3
GO:0072330	Monocarboxylic acid biosynthetic process	Biological Process	0.334	4.45706e-2
GO:0004620	Phospholipase activity	Molecular Function	0.937	6.19756e-3
GO:0030546	Signaling receptor activator activity	Molecular Function	0.583	6.19756e-3
GO:0008194	UDP-glycosyltransferase activity	Molecular Function	0.978	6.19756e-3
GO:1901879	Regulation of protein depolymerization	Biological Process	0.752	1.96523e-2
GO:0002052	Positive regulation of neuroblast proliferation	Biological Process	0.213	6.19756e-3
GO:0043005	Neuron projection	Cellular Component	1.036	9.41440e-3
GO:0016500	Protein-hormone receptor activity	Molecular Function	2.754	6.19756e-3
GO:0016525	Negative regulation of angiogenesis	Biological Process	1.627	9.41440e-3
GO:0003008	System process	Biological Process	1.303	6.19756e-3
GO:0017154	Semaphorin receptor activity	Molecular Function	2.486	2.25945e-2
GO:0016298	Lipase activity	Molecular Function	0.861	6.19756e-3
GO:0007186	G protein-coupled receptor signaling pathway	Biological Process	1.215	6.19756e-3
GO:0033993	Response to lipid	Biological Process	0.792	3.66115e-2
GO:0006909	Phagocytosis	Biological Process	0.693	6.19756e-3
GO:0050807	Regulation of synapse organization	Biological Process	1.373	6.19756e-3
GO:2000145	Regulation of cell motility	Biological Process	1.177	9.41440e-3
GO:0019318	Hexose metabolic process	Biological Process	0.711	6.19756e-3
GO:0003712	Transcription coregulator activity	Molecular Function	0.833	6.19756e-3
GO:0014032	Neural crest cell development	Biological Process	1.546	6.19756e-3
GO:0010508	Positive regulation of autophagy	Biological Process	0.608	1.32095e-2
GO:0031123	RNA 3'-end processing	Biological Process	0.440	1.32095e-2
GO:0098858	Actin-based cell projection	Cellular Component	1.319	9.41440e-3
GO:1990504	Dense core granule exocytosis	Biological Process	0.746	6.19756e-3
GO:0045017	Glycerolipid biosynthetic process	Biological Process	0.637	6.19756e-3
GO:0051209	Release of sequestered calcium ion into cytosol	Biological Process	1.642	6.19756e-3
GO:0008217	Regulation of blood pressure	Biological Process	1.376	6.19756e-3
GO:1990806	Ligand-gated ion channel signaling pathway	Biological Process	1.614	2.25945e-2
GO:0051259	Protein complex oligomerization	Biological Process	0.840	6.19756e-3
GO:0031248	Protein acetyltransferase complex	Cellular Component	0.940	6.19756e-3
GO:0050982	Detection of mechanical stimulus	Biological Process	0.939	9.41440e-3
GO:0008015	Blood circulation	Biological Process	1.313	6.19756e-3
GO:1901700	Response to oxygen-containing compound	Biological Process	0.559	6.19756e-3
GO:0099637	Neurotransmitter receptor transport	Biological Process	0.781	2.55335e-2
GO:0120025	Plasma membrane bounded cell projection	Cellular Component	0.761	2.83444e-2
GO:0030215	Semaphorin receptor binding	Molecular Function	1.963	6.19756e-3
GO:0048514	Blood vessel morphogenesis	Biological Process	0.863	2.25945e-2
GO:0005245	Voltage-gated calcium channel activity	Molecular Function	2.336	6.19756e-3
GO:0099535	Synapse-associated extracellular matrix	Cellular Component	1.054	6.19756e-3
GO:0070085	Glycosylation	Biological Process	0.401	9.41440e-3
GO:0009725	Response to hormone	Biological Process	0.962	3.92786e-2
GO:0051282	Regulation of sequestering of calcium ion	Biological Process	1.238	6.19756e-3
GO:0032454	Histone H3K9 demethylase activity	Molecular Function	0.769	3.41455e-2
GO:0070160	Tight junction	Cellular Component	0.663	6.19756e-3
GO:0072526	Pyridine-containing compound catabolic process	Biological Process	0.699	6.19756e-3
GO:1901698	Response to nitrogen compound	Biological Process	0.490	9.41440e-3
GO:0045165	Cell fate commitment	Biological Process	0.721	6.19756e-3
GO:0031623	Receptor internalization	Biological Process	1.950	6.19756e-3
GO:0031346	Positive regulation of cell projection organization	Biological Process	1.015	6.19756e-3
GO:0006024	Glycosaminoglycan biosynthetic process	Biological Process	2.380	2.25945e-2
GO:1903510	Mucopolysaccharide metabolic process	Biological Process	1.973	6.19756e-3
GO:0032252	Secretory granule localization	Biological Process	0.838	1.64409e-2
GO:0071695	Anatomical structure maturation	Biological Process	1.141	2.55335e-2
GO:0044309	Neuron spine	Cellular Component	1.670	6.19756e-3
GO:0050803	Regulation of synapse structure or activity	Biological Process	1.639	6.19756e-3
GO:1902679	Negative regulation of RNA biosynthetic process	Biological Process	0.361	4.70720e-2
GO:0051130	Positive regulation of cellular component organization	Biological Process	0.586	6.19756e-3
GO:0019364	Pyridine nucleotide catabolic process	Biological Process	0.688	6.19756e-3
GO:0097746	Blood vessel diameter maintenance	Biological Process	1.743	6.19756e-3
GO:0048864	Stem cell development	Biological Process	1.516	6.19756e-3
GO:0048562	Embryonic organ morphogenesis	Biological Process	1.085	9.41440e-3
GO:0032956	Regulation of actin cytoskeleton organization	Biological Process	0.422	4.19956e-2
GO:1905145	Cellular response to acetylcholine	Biological Process	2.115	6.19756e-3
GO:0050953	Sensory perception of light stimulus	Biological Process	0.623	9.41440e-3
GO:0003254	Regulation of membrane depolarization	Biological Process	1.318	6.19756e-3
GO:0071870	Cellular response to catecholamine stimulus	Biological Process	1.226	9.41440e-3
GO:0060090	Molecular adaptor activity	Molecular Function	0.491	9.41440e-3
GO:0009144	Purine nucleoside triphosphate metabolic process	Biological Process	0.398	9.41440e-3
GO:0005343	Organic acid:sodium symporter activity	Molecular Function	1.892	9.41440e-3
GO:0045944	Positive regulation of transcription by RNA polymerase II	Biological Process	0.686	3.92786e-2
GO:0030111	Regulation of Wnt signaling pathway	Biological Process	0.670	1.64409e-2
GO:0072524	Pyridine-containing compound metabolic process	Biological Process	0.502	6.19756e-3
GO:0043401	Steroid hormone receptor signaling pathway	Biological Process	1.223	1.32095e-2
GO:0031344	Regulation of cell projection organization	Biological Process	0.672	6.19756e-3
GO:0006022	Aminoglycan metabolic process	Biological Process	1.541	6.19756e-3
GO:0098802	Plasma membrane signaling receptor complex	Cellular Component	1.410	6.19756e-3
GO:0048762	Mesenchymal cell differentiation	Biological Process	1.244	6.19756e-3
GO:0032879	Regulation of localization	Biological Process	0.367	2.25945e-2
GO:0001667	Ameboidal-type cell migration	Biological Process	1.267	6.19756e-3
GO:0110053	Regulation of actin filament organization	Biological Process	0.572	6.19756e-3
GO:0005795	Golgi stack	Cellular Component	1.185	6.19756e-3
GO:0070887	Cellular response to chemical stimulus	Biological Process	0.655	3.66115e-2
GO:0019362	Pyridine nucleotide metabolic process	Biological Process	0.482	9.41440e-3
GO:0098877	Neurotransmitter receptor transport to plasma membrane	Biological Process	0.600	4.45706e-2
GO:0051480	Regulation of cytosolic calcium ion concentration	Biological Process	1.972	6.19756e-3
GO:0045892	Negative regulation of DNA-templated transcription	Biological Process	0.359	4.91950e-2
GO:0046496	Nicotinamide nucleotide metabolic process	Biological Process	0.482	9.41440e-3
GO:0031519	PcG protein complex	Cellular Component	1.268	6.19756e-3
GO:0071868	Cellular response to monoamine stimulus	Biological Process	1.220	9.41440e-3
GO:0004435	Phosphatidylinositol phospholipase C activity	Molecular Function	1.992	6.19756e-3
GO:1901342	Regulation of vasculature development	Biological Process	1.304	3.66115e-2
GO:0008286	Insulin receptor signaling pathway	Biological Process	1.682	6.19756e-3
GO:0001817	Regulation of cytokine production	Biological Process	1.021	6.19756e-3
GO:0034212	Peptide N-acetyltransferase activity	Molecular Function	1.961	6.19756e-3
GO:0031594	Neuromuscular junction	Cellular Component	1.682	9.41440e-3
GO:0016592	Mediator complex	Cellular Component	1.055	6.19756e-3
GO:0005416	Amino acid:monoatomic cation symporter activity	Molecular Function	1.710	1.96523e-2
GO:0000407	Phagophore assembly site	Cellular Component	0.533	4.91950e-2
GO:0045765	Regulation of angiogenesis	Biological Process	1.363	3.41455e-2
GO:0009267	Cellular response to starvation	Biological Process	0.839	4.19956e-2
GO:0097038	Perinuclear endoplasmic reticulum	Cellular Component	0.715	2.55335e-2
GO:0045211	Postsynaptic membrane	Cellular Component	1.886	1.96523e-2
GO:0008361	Regulation of cell size	Biological Process	1.306	1.96523e-2
GO:0140030	Modification-dependent protein binding	Molecular Function	0.260	9.41440e-3
GO:0042593	Glucose homeostasis	Biological Process	1.442	6.19756e-3
GO:0043197	Dendritic spine	Cellular Component	1.690	9.41440e-3
GO:0005793	Endoplasmic reticulum-Golgi intermediate compartment	Cellular Component	0.818	6.19756e-3
