61621,30608,37293,9606,2715852,9515,9595,379532,9601,9555,1868482,9541,39432,9598,34880,34884,9669,29073,9643,9627,9713,286419,9708,32536,9646,9678
A0A2K6JLX0,A0A8B7EAP5,A0A2K5BU93,A0A075B771,A0A2K5P8M2,A0A6J3EKH0,A0A2I2Y1N4,A0A2K6EE48,A0A0A0MXL3,A0A096MKK8,A0A1K0FU88,A0A2K5TJF9,A0A2K6RY20,A0A075B7H5,A0A811XPX3,A0A3Q7MBF3,A0A8U0MD65,A0A384BGI4,A0A452Q7F0,A0A3Q7QUL3,A0A2U3X699,A0A8C0JFX6,A0A2U3VAQ3,A0A6I9ZAS2,A0A7N5J7M1,A0A6G1A3S4
A0A2K6JLZ9,A0A8B7EB21,A0A2K5BUA1,A0A087WTE0,A0A2K5P8R3,A0A6J3EL23,A0A2I2Y1P9,A0A2K6EE56,A0A0A0MXL5,A0A096MKM5,A0A1U7SEC2,A0A2K5TJJ3,A0A2K6RY74,A0A2I3RA61,A0A811XPZ6,A0A3Q7MBR3,A0A8U0MDB8,A0A384BGZ8,A0A452Q7F6,A0A3Q7QV35,A0A2U3X6E8,A0A8C0JG69,A0A2U3VAS4,A0A6I9ZB91,A0A7N5J8M6,A0A6G1A3U2
A0A2K6JM47,A0A8B7EBN5,A0A2K5BUB7,A0A087WTE3,A0A2K5P8T2,A0A6J3ELV8,A0A2I2Y1Q3,A0A2K6EE99,A0A0B4J2H7,A0A096MKM9,A0A1U7SEN9,A0A2K5TJS1,A0A2K6RY76,A0A2I3RA77,A0A811XQ00,A0A3Q7MBT5,A0A8U0ME15,A0A384BH75,A0A452Q7F9,A0A3Q7QVE1,A0A2U3X6F6,A0A8C0JGB5,A0A2U3VAT2,A0A6I9ZCD3,A0A7N5J911,A0A6G1A3Z9
A0A2K6JM65,A0A8B7EC92,A0A2K5BUE6,A0A087WUB1,A0A2K5P8X5,A0A6J3END8,A0A2I2Y1R3,A0A2K6EEG8,A0A140TAX3,A0A096MKP7,A0A1U7SH27,A0A2K5TJU2,A0A2K6RYC5,A0A2I3RAZ3,A0A811XQ29,A0A3Q7MBX4,A0A8U0MEL8,A0A384BH81,A0A452Q7K9,A0A3Q7QVH9,A0A2U3X6K6,A0A8C0JGL6,A0A2U3VAT9,A0A6I9ZCG3,A0A7N5J925,A0A6G1A419
A0A2K6JM98,A0A8B7ECF0,A0A2K5BUS7,A0A087WV86,A0A2K5P8Y6,A0A6J3ENE6,A0A2I2Y283,A0A2K6EEH8,A0A2J8QZX3,A0A096MKU7,A0A1U7SJD8,A0A2K5TJU7,A0A2K6RYC8,A0A2I3RB72,A0A811XQ96,A0A3Q7MC03,A0A8U0MEY8,A0A384BHJ2,A0A452Q7T0,A0A3Q7QW98,A0A2U3X6R4,A0A8C0JGZ9,A0A2U3VAY2,A0A6I9ZCI4,A0A7N5J976,A0A6G1A463
A0A2K6JMB1,A0A8B7ECP6,A0A2K5BUZ0,A0A087WVM2,A0A2K5P931,A0A6J3ENK1,A0A2I2Y2A5,A0A2K6EEJ0,A0A2J8R044,A0A096ML58,A0A1U7SJQ2,A0A2K5TKK6,A0A2K6RYL3,A0A2I3RB97,A0A811XRJ3,A0A3Q7MC20,A0A8U0MF35,A0A384BHQ2,A0A452Q7W8,A0A3Q7QWK3,A0A2U3X6S8,A0A8C0JH67,A0A2U3VB11,A0A6I9ZD09,A0A7N5J9N5,A0A6G1A477
A0A2K6JMD8,A0A8B7EDF8,A0A2K5BV75,A0A087WWH0,A0A2K5P987,A0A6J3ENM9,A0A2I2Y2D9,A0A2K6EEL7,A0A2J8R1V7,A0A096ML59,A0A1U7SL14,A0A2K5TKS5,A0A2K6RYQ3,A0A2I3RBB9,A0A811XRL6,A0A3Q7MC71,A0A8U0MFW4,A0A384BHS5,A0A452Q7X1,A0A3Q7QWZ5,A0A2U3X6U9,A0A8C0JH87,A0A2U3VB13,A0A6I9ZDZ6,A0A7N5J9P6,A0A6G1A480
A0A2K6JMG4,A0A8B7EE56,A0A2K5BVC5,A0A087WXA3,A0A2K5P9D2,A0A6J3ENS0,A0A2I2Y2E1,A0A2K6EEP4,A0A2J8R1W1,A0A096MLE4,A0A1U7SLE6,A0A2K5TL01,A0A2K6RYV6,A0A2I3RBC1,A0A811XRQ2,A0A3Q7MCE3,A0A8U0MG00,A0A384BHW1,A0A452Q897,A0A3Q7QXB9,A0A2U3X6Z9,A0A8C0JHC3,A0A2U3VB19,A0A6I9ZE58,A0A7N5J9R4,A0A6G1A493
A0A2K6JMI3,A0A8B7EEM7,A0A2K5BVQ3,A0A087WXB8,A0A2K5P9G6,A0A6J3EP54,A0A2I2Y2Q6,A0A2K6EEP5,A0A2J8R2U6,A0A096MLS4,A0A1U7SLF5,A0A2K5TL32,A0A2K6RZ61,A0A2I3RBH6,A0A811XRQ7,A0A3Q7MCZ9,A0A8U0MG09,A0A384BHW5,A0A452Q8A8,A0A3Q7QXI9,A0A2U3X7H3,A0A8C0JHD8,A0A2U3VB89,A0A6I9ZEI5,A0A7N5J9R7,A0A6G1A4B5
A0A2K6JMN2,A0A8B7EEU5,A0A2K5BVS3,A0A087WXC8,A0A2K5P9U4,A0A6J3EQF4,A0A2I2Y2T8,A0A2K6EET6,A0A2J8R4U6,A0A096MM47,A0A1U7SLN0,A0A2K5TL84,A0A2K6RZ82,A0A2I3RBJ5,A0A811XRV6,A0A3Q7MD33,A0A8U0MG60,A0A384BHZ3,A0A452Q8B9,A0A3Q7QXK6,A0A2U3X7K8,A0A8C0JHE5,A0A2U3VB91,A0A6I9ZEL2,A0A7N5J9X7,A0A6G1A4E7
A0A2K6JMQ0,A0A8B7EEX4,A0A2K5BVU6,A0A087WXD2,A0A2K5P9U5,A0A6J3ERD6,A0A2I2Y2V6,A0A2K6EEZ6,A0A2J8R5L1,A0A096MMB0,A0A1U7SMS7,A0A2K5TM01,A0A2K6RZZ1,A0A2I3RCF3,A0A811XRV7,A0A3Q7MD55,A0A8U0MGK5,A0A384BIL2,A0A452Q8D2,A0A3Q7QXP1,A0A2U3X7R3,A0A8C0JHG0,A0A2U3VBD1,A0A6I9ZEP8,A0A7N5JA26,A0A6G1A4K2
A0A2K6JMZ4,A0A8B7EF68,A0A2K5BVV7,A0A087WXF1,A0A2K5PA49,A0A6J3ERI9,A0A2I2Y333,A0A2K6EF14,A0A2J8R824,A0A096MMK0,A0A1U7SNI7,A0A2K5TM18,A0A2K6RZZ9,A0A2I3RCG7,A0A811XS01,A0A3Q7MDB4,A0A8U0MGQ6,A0A384BIS6,A0A452Q8G7,A0A3Q7QXS9,A0A2U3X7W8,A0A8C0JHS8,A0A2U3VBG3,A0A6I9ZEX1,A0A7N5JA66,A0A6G1A4K6
A0A2K6JN22,A0A8B7EFM2,A0A2K5BW07,A0A087WXL6,A0A2K5PA53,A0A6J3ES02,A0A2I2Y386,A0A2K6EF40,A0A2J8R9U9,A0A096MMS4,A0A1U7SPF5,A0A2K5TM62,A0A2K6S029,A0A2I3RCI1,A0A811XS33,A0A3Q7MDQ7,A0A8U0MGS2,A0A384BIX5,A0A452Q8I0,A0A3Q7QY20,A0A2U3X7Y2,A0A8C0JHY7,A0A2U3VBM2,A0A6I9ZF86,A0A7N5JA82,A0A6G1A4P1
